Stimulus,CID,Concentration,pleasantness
186,8129,1e-05,60.19512195121951
187,14228,1e-05,46.421052631578945
188,14228,0.001,52.357142857142854
189,5368076,0.001,50.31111111111111
190,5368076,1e-05,56.407407407407405
191,8137,0.001,64.98076923076923
192,8137,1e-05,58.5
193,957,1e-05,46.18518518518518
194,957,0.001,49.870370370370374
195,14257,0.1,32.326530612244895
196,14257,0.001,53.333333333333336
197,8159,0.1,53.388888888888886
198,8159,0.001,61.648648648648646
199,8163,0.001,50.416666666666664
200,8163,0.1,43.283018867924525
201,14286,0.001,49.72727272727273
202,14286,1e-05,53.629629629629626
203,8174,1e-05,46.82142857142857
204,8174,0.001,38.64705882352941
205,8175,0.001,33.340425531914896
206,8175,0.1,28.72222222222222
207,8180,0.001,31.142857142857142
208,8180,0.1,22.944444444444443
209,14296,0.001,49.37931034482759
210,14296,0.1,28.69090909090909
211,8184,0.1,41.0
212,8184,0.001,41.8936170212766
213,8186,1e-05,50.0
214,8186,0.001,36.22
215,62374,1e-05,55.03125
216,62374,0.001,47.6530612244898
217,8193,0.001,43.0
218,8193,0.1,35.84782608695652
219,62375,1e-05,49.89473684210526
220,62375,0.001,34.98148148148148
221,8205,1e-05,49.53846153846154
222,8205,0.001,43.54545454545455
223,62378,0.001,44.490566037735846
224,62378,1e-05,48.513513513513516
225,14328,0.1,38.888888888888886
226,14328,0.001,51.407407407407405
227,8294,1e-05,44.45
228,8294,0.001,56.91428571428571
229,8363,0.001,53.64705882352941
230,8363,0.1,57.62162162162162
231,8375,0.001,29.545454545454547
232,8375,1e-05,39.224489795918366
233,14491,1e-07,40.11538461538461
234,14491,1e-05,24.90740740740741
235,4133,0.001,60.836363636363636
236,4133,1e-05,56.72727272727273
237,14514,0.001,36.48148148148148
238,14514,1e-05,47.4
239,3102,0.001,57.5
240,3102,0.1,36.18867924528302
241,660,0.001,64.81818181818181
242,660,1e-05,64.63636363636364
243,8419,0.001,62.390243902439025
244,8419,0.1,75.27777777777777
245,6114390,0.001,56.2
246,6114390,1e-05,59.734693877551024
247,61048,0.1,47.55555555555556
248,61048,0.001,49.02777777777778
249,2345,0.1,46.93877551020408
250,2345,0.001,48.6
251,8438,0.001,72.02272727272727
252,8438,0.1,70.88888888888889
253,637796,1e-05,54.61904761904762
254,637796,0.001,59.56
255,8452,0.1,29.6
256,8452,0.001,36.04255319148936
257,8467,0.1,84.25454545454545
258,8467,0.001,83.94444444444444
259,1183,0.001,83.96296296296296
260,1183,0.1,86.28301886792453
261,8468,0.001,44.06060606060606
262,8468,0.1,54.7
263,326,0.001,51.16326530612245
264,326,1e-05,58.111111111111114
265,31209,0.001,33.244897959183675
266,31209,0.1,43.46153846153846
267,31210,0.001,47.22222222222222
268,31210,1e-05,45.92307692307692
269,31219,0.001,67.22916666666667
270,31219,1e-05,44.04347826086956
271,778574,0.1,41.339622641509436
272,778574,0.001,54.0
273,31225,1e-05,52.609756097560975
274,31225,0.001,54.6
275,61052,1e-05,49.77777777777778
276,61052,0.001,36.42553191489362
277,31234,0.001,48.58695652173913
278,31234,1e-05,45.38636363636363
279,126,0.001,51.83783783783784
280,126,0.1,49.21153846153846
281,31244,0.001,60.0
282,31244,1e-05,69.02127659574468
283,31246,1e-05,51.642857142857146
284,31246,0.001,49.27272727272727
285,31249,0.1,60.905660377358494
286,31249,0.001,57.72093023255814
287,31252,1e-05,38.48837209302326
288,31252,1e-07,48.391304347826086
289,31260,1e-05,39.18181818181818
290,31260,0.001,51.04
291,31265,1e-05,71.6
292,31265,0.001,78.61111111111111
293,31266,0.001,71.77777777777777
294,31266,1e-05,49.15384615384615
295,261,0.001,17.666666666666668
296,261,1e-05,32.2
297,31268,1e-07,37.45454545454545
298,31268,1e-05,40.7037037037037
299,31272,0.001,55.648148148148145
300,31272,1e-05,61.09756097560975
301,31276,1e-05,65.225
302,31276,0.001,59.276595744680854
303,196,0.001,38.48148148148148
304,196,0.1,52.666666666666664
305,31283,0.001,42.75
306,31283,0.1,50.6
307,379,1e-05,35.214285714285715
308,379,0.001,26.632653061224488
309,454,0.001,33.05555555555556
310,454,1e-05,64.97674418604652
311,1060,0.001,39.075471698113205
312,1060,1e-05,53.371428571428574
313,31404,0.1,51.904761904761905
314,31404,0.001,51.36842105263158
315,8615,0.001,48.1875
316,8615,0.1,56.91111111111111
317,875,0.1,48.3421052631579
318,875,0.001,52.05882352941177
319,8635,0.001,65.31481481481481
320,8635,1e-05,64.0204081632653
321,8658,1e-05,39.0
322,8658,0.001,32.18181818181818
323,61641,1e-07,43.17142857142857
324,61641,1e-05,41.03030303030303
325,61653,1e-05,33.833333333333336
326,61653,1e-07,44.19444444444444
327,61659,1e-05,26.923076923076923
328,61659,0.001,20.11111111111111
329,1136,0.001,29.61111111111111
330,1136,1e-05,37.8125
331,8712,1e-05,24.807692307692307
332,8712,1e-07,47.92307692307692
333,61670,1e-05,45.6875
334,61670,1e-07,48.55555555555556
335,8723,0.001,27.98148148148148
336,8723,1e-05,47.1
337,26331,1e-05,46.97222222222222
338,26331,0.001,37.236363636363635
339,444539,0.001,28.375
340,444539,0.1,52.74545454545454
341,8785,1e-05,54.744680851063826
342,8785,0.001,60.411764705882355
343,8797,1e-05,28.96153846153846
344,8797,0.001,47.018181818181816
345,8815,0.001,60.83018867924528
346,8815,1e-05,54.458333333333336
347,1549025,0.001,43.04761904761905
348,1549025,0.1,49.905660377358494
349,8857,1e-05,45.69565217391305
350,8857,0.001,45.1578947368421
351,8878,0.001,73.68518518518519
352,8878,1e-05,55.4
353,8892,0.001,14.272727272727273
354,8892,1e-05,19.352941176470587
355,8908,1e-05,53.666666666666664
356,8908,0.001,63.145833333333336
357,3893,0.1,29.87037037037037
358,3893,0.001,34.666666666666664
359,8914,0.001,35.76923076923077
360,8914,1e-05,42.94285714285714
361,8918,0.1,34.07272727272727
362,8918,0.001,39.86842105263158
363,15037,0.001,28.67924528301887
364,15037,1e-05,46.82857142857143
365,61771,0.001,50.98039215686274
366,61771,0.1,49.31481481481482
367,145742,0.1,27.89090909090909
368,145742,0.001,22.84090909090909
369,8697,0.1,28.431372549019606
370,8697,0.001,38.1063829787234
371,994,0.001,52.116279069767444
372,994,0.1,44.53703703703704
373,9012,0.001,26.79245283018868
374,9012,0.1,24.24074074074074
375,9016,1e-07,50.285714285714285
376,9016,1e-05,53.96296296296296
377,9024,0.1,51.870370370370374
378,9024,0.001,52.45161290322581
379,9025,0.001,49.74545454545454
380,9025,1e-05,45.8
381,5363491,0.1,45.0
382,5363491,0.001,55.0
383,165675,0.001,52.04347826086956
384,165675,0.1,55.30909090909091
385,27440,0.001,16.62264150943396
386,27440,1e-05,33.61538461538461
387,61809,0.001,24.314814814814813
388,61809,1e-05,37.55769230769231
389,27457,0.001,31.166666666666668
390,27457,1e-05,43.94444444444444
391,27458,1e-07,40.3448275862069
392,27458,1e-05,34.339622641509436
393,15380,1e-07,45.37837837837838
394,15380,1e-05,25.09090909090909
395,565690,0.001,56.906976744186046
396,565690,1e-05,49.38095238095238
397,85522,0.001,17.87037037037037
398,85522,1e-05,37.6578947368421
399,15510,1e-05,16.5
400,15510,1e-07,24.037037037037038
401,641256,1e-05,49.629629629629626
402,641256,0.001,48.0
403,15606,0.001,57.770833333333336
404,15606,1e-05,57.875
405,15654,0.001,21.345454545454544
406,15654,1e-05,38.63414634146341
407,15717,1e-07,49.81818181818182
408,15717,1e-05,32.964285714285715
409,440967,0.1,50.50909090909091
410,440967,0.001,54.84848484848485
411,519539,0.001,25.69090909090909
412,519539,1e-05,31.84
413,106997,0.001,37.17307692307692
414,106997,1e-05,45.5
415,5318599,1e-05,50.81481481481482
416,5318599,0.001,36.53703703703704
417,61130,1e-05,40.291666666666664
418,61130,1e-07,50.07692307692308
419,62725,1e-05,41.372549019607845
420,62725,1e-07,46.388888888888886
421,641423,1e-05,52.41463414634146
422,641423,0.001,52.355555555555554
423,16255,0.1,50.0
424,16255,0.001,57.57575757575758
425,16324,0.001,23.745454545454546
426,16324,1e-05,33.21951219512195
427,89440,0.001,67.70588235294117
428,89440,0.1,67.36538461538461
429,16537,0.001,37.75
430,16537,1e-05,46.875
431,61293,1e-05,54.42857142857143
432,61293,0.001,47.29090909090909
433,1550470,0.001,35.31481481481482
434,1550470,1e-05,54.8
435,520108,1e-05,47.74545454545454
436,520108,0.001,46.26923076923077
437,62444,1e-05,16.236363636363638
438,62444,0.001,4.962962962962963
439,88454,0.001,52.05882352941177
440,88454,1e-05,38.53846153846154
441,32594,1e-05,47.943396226415096
442,32594,0.001,31.2
443,2733294,1e-05,49.0
444,2733294,0.001,41.15094339622642
445,8456,0.1,36.471698113207545
446,8456,0.001,46.0
447,5367706,1e-05,51.2
448,5367706,0.001,40.829268292682926
449,595928,0.001,45.45454545454545
450,595928,1e-05,47.2
451,220674,0.1,61.18181818181818
452,220674,0.001,55.355555555555554
453,17525,0.001,34.083333333333336
454,17525,1e-05,43.857142857142854
455,17617,0.001,60.886792452830186
456,17617,1e-05,54.65384615384615
457,520296,1e-05,47.06060606060606
458,520296,0.001,44.266666666666666
459,62465,0.001,41.7037037037037
460,62465,1e-05,43.76470588235294
461,93375,1e-05,57.65384615384615
462,93375,0.001,40.666666666666664
463,17898,1e-05,52.592592592592595
464,17898,0.001,34.27272727272727
465,62835,1e-07,46.05263157894737
466,62835,1e-05,59.53703703703704
467,9256,0.001,43.17142857142857
468,9256,1e-05,45.5
469,9261,1e-05,39.567567567567565
470,9261,0.001,44.785714285714285
471,18467,0.001,37.28846153846154
472,18467,1e-05,54.76744186046512
473,3578033,1e-05,41.642857142857146
474,3578033,0.001,27.90909090909091
475,18554,1e-05,38.333333333333336
476,18554,0.001,34.38636363636363
477,18635,1e-05,23.92452830188679
478,18635,1e-07,30.653061224489797
479,61918,0.001,25.745454545454546
480,61918,1e-05,41.21951219512195
481,2969,0.001,28.74
482,2969,0.1,28.296296296296298
483,5365049,1e-05,52.03846153846154
484,5365049,0.001,64.40384615384616
485,18827,0.001,40.27272727272727
486,18827,1e-05,42.175
487,36822,1e-05,55.574074074074076
488,36822,1e-07,42.91428571428571
489,6999977,1e-05,48.81481481481482
490,6999977,0.001,50.212765957446805
491,9589,1e-05,44.758620689655174
492,9589,0.001,32.29090909090909
493,61945,1e-05,45.38461538461539
494,61945,1e-07,49.2
495,9609,1e-07,43.78260869565217
496,9609,1e-05,24.208333333333332
497,101604,1e-05,66.6304347826087
498,101604,0.001,70.62745098039215
499,19310,1e-07,26.557692307692307
500,19310,1e-05,18.38888888888889
501,2682,0.001,35.411764705882355
502,2682,0.1,42.97959183673469
503,5363388,1e-05,70.92682926829268
504,5363388,0.001,63.83018867924528
505,62087,1e-05,40.0
506,62087,1e-07,50.19047619047619
507,1549778,0.001,41.76744186046512
508,1549778,1e-05,53.04347826086956
509,62900,1e-05,60.2
510,62900,0.001,69.74074074074075
511,62902,1e-05,65.74074074074075
512,62902,0.001,76.76363636363637
513,98330,0.1,16.90909090909091
514,98330,0.001,13.796296296296296
515,61325,0.001,25.962962962962962
516,61325,1e-05,28.173076923076923
517,61331,0.001,37.224489795918366
518,61331,0.1,42.22222222222222
519,5365027,1e-05,35.95744680851064
520,5365027,0.001,34.74074074074074
521,5352539,0.001,47.074074074074076
522,5352539,1e-05,40.833333333333336
523,637563,1e-05,51.32432432432432
524,637563,0.001,62.13725490196079
525,61337,1e-05,41.766666666666666
526,61337,0.001,31.867924528301888
527,444683,1e-05,50.71875
528,444683,0.001,50.166666666666664
529,5367698,1e-05,52.25
530,5367698,0.001,40.08510638297872
531,650,1e-05,35.87755102040816
532,650,0.001,24.462962962962962
533,6429333,1e-07,57.476190476190474
534,6429333,1e-05,36.628571428571426
535,159055,0.001,52.333333333333336
536,159055,0.1,52.14545454545455
537,2758,1e-05,61.48780487804878
538,2758,0.001,62.528301886792455
539,521238,0.001,58.97560975609756
540,521238,0.1,44.92727272727273
541,10285,1e-07,49.476190476190474
542,10285,1e-05,40.470588235294116
543,21057,0.001,24.27777777777778
544,21057,1e-05,37.291666666666664
545,2214,0.001,55.13793103448276
546,2214,0.1,45.716981132075475
547,10364,0.001,48.03636363636364
548,10364,1e-05,53.22727272727273
549,10400,1e-05,55.0
550,10400,0.001,40.8235294117647
551,10430,1e-05,12.925925925925926
552,10430,1e-07,20.695652173913043
553,10448,1e-07,24.755102040816325
554,10448,1e-05,22.89090909090909
555,62351,1e-05,34.26
556,62351,0.001,25.185185185185187
557,5779,0.001,48.39473684210526
558,5779,0.1,68.64814814814815
559,5780,0.001,44.96774193548387
560,5780,0.1,29.81132075471698
561,262,0.001,53.46153846153846
562,262,1e-05,52.7
563,1551246,1e-05,60.333333333333336
564,1551246,0.001,64.52727272727273
565,5610,0.001,58.0
566,5610,0.1,34.65217391304348
567,78925,0.001,34.129629629629626
568,78925,1e-05,39.96
569,5862,0.1,12.8
570,5862,0.001,39.0
571,10722,0.001,52.654545454545456
572,10722,1e-05,60.21951219512195
573,21363,0.001,28.78846153846154
574,21363,1e-05,37.6
575,10748,0.001,59.27450980392157
576,10748,0.1,62.01851851851852
577,10797,1e-07,39.44117647058823
578,10797,1e-05,52.55555555555556
579,325,0.001,40.354838709677416
580,325,0.1,31.836734693877553
581,10882,0.001,71.42592592592592
582,10882,1e-05,73.63461538461539
583,10886,0.1,44.574074074074076
584,10886,0.001,53.84
585,10890,1e-05,47.72222222222222
586,10890,0.001,55.82
587,10895,1e-05,47.78378378378378
588,10895,0.001,58.55102040816327
589,62572,0.001,75.42553191489361
590,62572,1e-05,42.05
591,10925,1e-05,13.272727272727273
592,10925,1e-07,32.02272727272727
593,104721,1e-05,49.42307692307692
594,104721,0.001,31.545454545454547
595,21648,0.1,49.645833333333336
596,21648,0.001,50.59183673469388
597,62089,0.1,27.444444444444443
598,62089,0.001,28.980392156862745
599,11086,1e-05,58.44897959183673
600,11086,0.001,57.45454545454545
601,11124,0.001,55.785714285714285
602,11124,1e-05,55.69565217391305
603,750,0.001,53.2962962962963
604,750,0.1,59.4375
605,5950,0.1,55.6764705882353
606,5950,0.001,45.92857142857143
607,753,0.001,42.74074074074074
608,753,0.1,48.0625
609,5960,0.001,34.958333333333336
610,5960,0.1,32.113207547169814
611,5961,1e-05,49.583333333333336
612,5961,0.001,51.708333333333336
613,33032,0.1,37.11363636363637
614,33032,0.001,47.473684210526315
615,5962,0.1,18.462962962962962
616,5962,0.001,27.41176470588235
617,5362798,1e-05,53.63636363636363
618,5362798,0.001,49.24528301886792
619,1030,0.1,46.241379310344826
620,1030,0.001,42.5
621,11419,1e-05,50.916666666666664
622,11419,0.001,31.555555555555557
623,11428,1e-05,33.38709677419355
624,11428,0.001,34.0188679245283
625,11525,0.001,36.86
626,11525,1e-05,64.58974358974359
627,11527,0.001,38.18181818181818
628,11527,1e-05,49.54545454545455
629,11529,0.001,54.55769230769231
630,11529,1e-05,46.48148148148148
631,62144,1e-05,21.537037037037038
632,62144,1e-07,24.272727272727273
633,11567,1e-05,41.729729729729726
634,11567,0.001,45.5
635,11569,1e-05,54.05
636,11569,0.001,52.96078431372549
637,11583,1e-05,48.642857142857146
638,11583,0.001,42.22222222222222
639,61138,1e-05,15.692307692307692
640,61138,0.001,14.10909090909091
641,11614,0.001,45.38297872340426
642,11614,1e-05,44.095238095238095
643,11617,1e-05,37.22222222222222
644,11617,1e-07,42.73913043478261
645,440917,0.001,52.58536585365854
646,440917,1e-05,30.86842105263158
647,6050,0.001,22.192307692307693
648,6050,1e-05,39.529411764705884
649,22310,0.001,46.51111111111111
650,22310,1e-05,49.64
651,6054,0.001,52.763636363636365
652,6054,1e-05,63.1
653,6057,0.001,43.96
654,6057,1e-05,44.05263157894737
655,22386,1e-05,42.57142857142857
656,22386,0.001,35.53846153846154
657,5280450,0.1,13.927272727272728
658,5280450,0.001,31.69090909090909
659,61151,1e-05,45.86206896551724
660,61151,0.001,48.1025641025641
661,11902,0.001,37.15094339622642
662,11902,1e-05,48.708333333333336
663,61155,0.001,37.37735849056604
664,61155,1e-05,45.5
665,11980,0.001,42.75555555555555
666,11980,0.1,32.01851851851852
667,12020,1e-05,43.28
668,12020,0.001,40.68181818181818
669,6106,0.001,46.35897435897436
670,6106,0.1,22.944444444444443
671,5364231,1e-05,46.675
672,5364231,0.001,51.67272727272727
673,12097,0.001,59.325581395348834
674,12097,1e-05,45.75
675,2346,0.001,15.127272727272727
676,2346,1e-05,29.01923076923077
677,12178,0.001,35.09090909090909
678,12178,1e-05,46.83720930232558
679,12180,0.001,32.88461538461539
680,12180,1e-05,27.772727272727273
681,12206,1e-05,48.8
682,12206,0.001,42.372549019607845
683,12265,1e-05,48.16279069767442
684,12265,0.001,53.03703703703704
685,12297,1e-05,42.108108108108105
686,12297,0.001,42.333333333333336
687,12327,0.001,50.093023255813954
688,12327,0.1,52.75471698113208
689,12348,1e-05,57.63157894736842
690,12348,0.001,57.51063829787234
691,12377,0.001,35.92727272727273
692,12377,1e-05,40.06122448979592
693,61177,1e-05,42.225806451612904
694,61177,0.001,49.0377358490566
695,526618,1e-07,39.44117647058823
696,526618,1e-05,24.53846153846154
697,61386,0.1,33.714285714285715
698,61386,0.001,47.708333333333336
699,6137,0.001,31.5
700,6137,0.1,18.358490566037737
701,12506,1e-05,49.125
702,12506,0.001,40.56
703,22873,0.1,43.81132075471698
704,22873,0.001,48.19444444444444
705,61185,0.001,48.37931034482759
706,61185,1e-05,58.84615384615385
707,6140,0.1,39.857142857142854
708,6140,0.001,44.34375
709,1001,1e-05,48.0
710,1001,0.001,29.11320754716981
711,702,1e-05,49.55555555555556
712,702,0.001,60.925925925925924
713,176,1e-05,47.793103448275865
714,176,1e-07,46.05263157894737
715,5352837,1e-05,66.60416666666667
716,5352837,0.001,59.31481481481482
717,12580,0.001,36.679245283018865
718,12580,1e-05,47.67567567567568
719,12587,1e-05,20.770833333333332
720,12587,1e-07,43.3448275862069
721,439570,0.1,78.56363636363636
722,439570,0.001,78.2
723,5371102,0.001,48.125
724,5371102,1e-05,49.75
725,61192,0.001,34.37735849056604
726,61192,1e-05,41.8780487804878
727,243,0.001,34.86206896551724
728,243,1e-05,55.470588235294116
729,6184,1e-05,20.381818181818183
730,6184,1e-07,47.23809523809524
731,6202,0.1,35.54545454545455
732,6202,0.001,36.37735849056604
733,5281168,0.001,30.88679245283019
734,5281168,1e-05,53.07692307692308
735,5362814,1e-05,28.692307692307693
736,5362814,1e-07,32.54347826086956
737,887,0.001,42.65217391304348
738,887,0.1,39.484848484848484
739,3776,0.001,41.1
740,3776,1e-05,38.266666666666666
741,180,0.001,51.225806451612904
742,180,0.1,56.567567567567565
743,679,0.001,32.12903225806452
744,679,0.1,36.69230769230769
745,6213,0.001,47.64
746,6213,0.1,61.078947368421055
747,101010,1e-07,51.041666666666664
748,101010,1e-05,38.80769230769231
749,16220109,0.001,47.630434782608695
750,16220109,0.1,47.236363636363635
751,23235,0.1,34.61818181818182
752,23235,0.001,37.6875
753,10857465,0.001,62.84444444444444
754,10857465,0.1,55.71153846153846
755,12741,1e-05,51.225806451612904
756,12741,0.001,49.458333333333336
757,12748,0.001,29.408163265306122
758,12748,1e-05,32.744680851063826
759,61199,1e-07,67.83018867924528
760,61199,1e-05,59.148936170212764
761,12810,0.001,69.29629629629629
762,12810,1e-05,72.43478260869566
763,12813,1e-05,61.41025641025641
764,12813,0.001,64.85185185185185
765,6274,0.1,34.604166666666664
766,6274,0.001,44.333333333333336
767,61204,0.001,60.74074074074074
768,61204,1e-05,60.65714285714286
769,1031,0.001,49.73529411764706
770,1031,1e-05,50.13636363636363
771,263,1e-07,49.7037037037037
772,263,1e-05,42.666666666666664
773,6276,1e-05,41.857142857142854
774,6276,0.001,23.897435897435898
775,241,0.001,51.73076923076923
776,241,1e-05,39.40909090909091
777,251531,1e-05,50.608695652173914
778,251531,0.001,58.744680851063826
779,23642,1e-05,15.672727272727272
780,23642,1e-07,52.72
781,6287,0.001,50.52173913043478
782,6287,0.1,40.883720930232556
783,24020,1e-05,77.89090909090909
784,24020,0.001,75.07272727272728
785,6322,0.1,47.85
786,6322,0.001,44.61904761904762
787,24116,1e-05,50.689655172413794
788,24116,0.001,51.98076923076923
789,61408,0.001,51.549019607843135
790,61408,1e-05,66.97674418604652
791,5364729,0.001,41.07272727272727
792,5364729,1e-05,44.294117647058826
793,177,1e-05,53.96875
794,177,0.001,45.0
795,1068,1e-05,33.40425531914894
796,1068,0.001,33.56
797,7793,0.001,53.51851851851852
798,7793,1e-05,61.26190476190476
799,5366244,0.1,28.074074074074073
800,5366244,0.001,44.25
801,6374,0.001,36.37735849056604
802,6374,0.1,30.654545454545456
803,807,0.1,13.673076923076923
804,807,0.001,51.583333333333336
805,24203,0.001,46.166666666666664
806,24203,0.1,63.357142857142854
807,6386,0.1,44.89795918367347
808,6386,0.001,58.833333333333336
809,2537,0.001,49.479166666666664
810,2537,1e-05,53.08695652173913
811,6448,1e-05,45.69230769230769
812,6448,0.001,45.18181818181818
813,61209,0.1,35.78181818181818
814,61209,0.001,44.611111111111114
815,962,0.001,49.07692307692308
816,962,0.1,54.37931034482759
817,24473,0.001,50.166666666666664
818,24473,0.1,39.50909090909091
819,24513,0.001,53.6
820,24513,0.1,50.17307692307692
821,6753,1e-05,48.35
822,6753,0.001,57.73076923076923
823,5273467,0.001,38.785714285714285
824,5273467,1e-05,56.65384615384615
825,6501,1e-07,53.4
826,6501,1e-05,59.945945945945944
827,82227,1e-05,54.42424242424242
828,82227,0.001,45.62
829,228769,1e-05,54.07142857142857
830,228769,0.001,39.354838709677416
831,14525,1e-05,49.3
